,cause,cause_desc
5350,D058,Other specified type of carcinoma in situ of breast
5351,D408,Neoplasm of uncertain behavior of other specified male genital organs
5352,E787,Disorders of bile acid and cholesterol metabolism
5353,H5011,Monocular exotropia
5354,H536,Night blindness
5355,I82B1,Acute embolism and thrombosis of subclavian vein
5356,J02,Acute pharyngitis
5357,J30,Vasomotor and allergic rhinitis
5358,K0840,"Partial loss of teeth, unspecified cause"
5359,K5121,Ulcerative (chronic) proctitis with complications
5360,K628,Other specified diseases of anus and rectum
5361,L67,Hair color and hair shaft abnormalities
5362,M1A019,"Idiopathic chronic gout, unspecified shoulder"
5363,M1A419,"Other secondary chronic gout, unspecified shoulder"
5364,M1005,"Idiopathic gout, hip"
5365,M1108,"Hydroxyapatite deposition disease, vertebrae"
5366,M629,"Disorder of muscle, unspecified"
5367,M84649,"Pathological fracture in other disease, unspecified hand"
5368,M8634,"Chronic multifocal osteomyelitis, hand"
5369,M9057,"Osteonecrosis in diseases classified elsewhere, ankle and foot"
5370,M911,Juvenile osteochondrosis of head of femur [Legg-Calve-Perthes]
5371,M952,Other acquired deformity of head
5372,N834,Prolapse and hernia of ovary and fallopian tube
5373,N86,Erosion and ectropion of cervix uteri
5374,O9A13,Malignant neoplasm complicating the puerperium
5375,P9181,Neonatal encephalopathy
5376,P93,Reactions and intoxications due to drugs administered to newborn
5377,Q767,Congenital malformation of sternum
5378,R05,Cough
5379,R10,Abdominal and pelvic pain
5380,R419,Unspecified symptoms and signs involving cognitive functions and awareness
5381,R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
5382,S049,Injury of unspecified cranial nerve
5383,S0500,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye"
5384,S06327,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
5385,S06354,Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours
5386,S06362,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes"
5387,S1096,Insect bite of unspecified part of neck
5388,A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
5389,A57,Chancroid
5390,A929,"Mosquito-borne viral fever, unspecified"
5391,C5081,"Malignant neoplasm of overlapping sites of breast, female"
5392,D574,Sickle-cell thalassemia
5393,E050,Thyrotoxicosis with diffuse goiter
5394,E08321,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
5395,E29,Testicular dysfunction
5396,E883,Tumor lysis syndrome
5397,F142,Cocaine dependence
5398,F1522,Other stimulant dependence with intoxication
5399,F1695,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder"
5400,G4041,"Other generalized epilepsy and epileptic syndromes, intractable"
5401,G4090,"Epilepsy, unspecified, not intractable"
5402,G711,Myotonic disorders
5403,G974,Accidental puncture and laceration of a nervous system organ or structure during a procedure
5404,H0242,Myogenic ptosis of eyelid
5405,H442,Degenerative myopia
5406,H4729,Other optic atrophy
5407,H531,Subjective visual disturbances
5408,H664,"Suppurative otitis media, unspecified"
5409,J18,"Pneumonia, unspecified organism"
5410,J951,Acute pulmonary insufficiency following thoracic surgery
5411,M0086,"Arthritis due to other bacteria, knee"
5412,M0543,Rheumatoid myopathy with rheumatoid arthritis of wrist
5413,M0562,Rheumatoid arthritis of elbow with involvement of other organs and systems
5414,M0891,"Juvenile arthritis, unspecified, shoulder"
5415,M4111,Juvenile idiopathic scoliosis
5416,M84377,"Stress fracture, right toe(s)"
5417,M873,Other secondary osteonecrosis
5418,M9081,"Osteopathy in diseases classified elsewhere, shoulder"
5419,N856,Intrauterine synechiae
5420,O41143,"Placentitis, third trimester"
5421,O8801,Obstetric air embolism in pregnancy
5422,O9932,"Drug use complicating pregnancy, childbirth, and the puerperium"
5423,P008,Newborn affected by other maternal conditions
5424,P789,"Perinatal digestive system disorder, unspecified"
5425,Q278,Other specified congenital malformations of peripheral vascular system
5426,Q709,"Syndactyly, unspecified"
5427,R508,Other specified fever
5428,S0007,Other superficial bite of scalp
5429,S0242,Fracture of alveolus of maxilla
5430,S0562,Penetrating wound without foreign body of left eyeball
5431,S066X6,Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
5432,S06810,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness"
5433,S09392,Other specified injury of left middle and inner ear
5434,A32,Listeriosis
5435,A493,"Mycoplasma infection, unspecified site"
5436,B30,Viral conjunctivitis
5437,D4959,Neoplasm of unspecified behavior of other genitourinary organ
5438,D75,Other and unspecified diseases of blood and blood-forming organs
5439,E704,Disorders of histidine metabolism
5440,F1992,"Other psychoactive substance use, unspecified with intoxication"
5441,F84,Pervasive developmental disorders
5442,G049,"Encephalitis, myelitis and encephalomyelitis, unspecified"
5443,G129,"Spinal muscular atrophy, unspecified"
5444,H1604,Marginal corneal ulcer
5445,H5089,Other specified strabismus
5446,H5316,Psychophysical visual disturbances
5447,I22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
5448,I8260,Acute embolism and thrombosis of unspecified veins of upper extremity
5449,K35,Acute appendicitis
5450,L728,Other follicular cysts of the skin and subcutaneous tissue
5451,M0226,"Postimmunization arthropathy, knee"
5452,M1112,"Familial chondrocalcinosis, elbow"
5453,M2003,Swan-neck deformity
5454,M2161,Bunion
5455,M66,Spontaneous rupture of synovium and tendon
5456,M6741,"Ganglion, shoulder"
5457,M80049,"Age-related osteoporosis with current pathological fracture, unspecified hand"
5458,M84522,"Pathological fracture in neoplastic disease, left humerus"
5459,M8786,"Other osteonecrosis, tibia and fibula"
5460,N634,"Unspecified lump in breast, subareolar"
5461,N998,Other intraoperative and postprocedural complications and disorders of genitourinary system
5462,O0962,Supervision of young multigravida
5463,O36832,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester"
5464,O74,Complications of anesthesia during labor and delivery
5465,O9882,Other maternal infectious and parasitic diseases complicating childbirth
5466,P923,Underfeeding of newborn
5467,Q55,Other congenital malformations of male genital organs
5468,Q622,Congenital megaureter
5469,Q714,Longitudinal reduction defect of radius
5470,Q768,Other congenital malformations of bony thorax
5471,S01101,Unspecified open wound of right eyelid and periocular area
5472,S01129,Laceration with foreign body of unspecified eyelid and periocular area
5473,S1010,Unspecified superficial injuries of throat
5474,A083,Other viral enteritis
5475,B01,Varicella [chickenpox]
5476,B05,Measles
5477,B67,Echinococcosis
5478,B699,"Cysticercosis, unspecified"
5479,C402,Malignant neoplasm of long bones of lower limb
5480,C64,"Malignant neoplasm of kidney, except renal pelvis"
5481,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
5482,E10321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
5483,E877,Fluid overload
5484,F1492,"Cocaine use, unspecified with intoxication"
5485,F1598,"Other stimulant use, unspecified with other stimulant-induced disorder"
5486,F308,Other manic episodes
5487,F985,Adult onset fluency disorder
5488,H0402,Chronic dacryoadenitis
5489,H0411,Dacryops
5490,H1121,Conjunctival adhesions and strands (localized)
5491,H1504,Scleritis with corneal involvement
5492,H4004,Steroid responder
5493,H430,Vitreous prolapse
5494,H503,Intermittent heterotropia
5495,I6994,Monoplegia of lower limb following unspecified cerebrovascular disease
5496,K2271,Barrett's esophagus with dysplasia
5497,L86,Keratoderma in diseases classified elsewhere
5498,L894,"Pressure ulcer of contiguous site of back, buttock and hip"
5499,M0005,"Staphylococcal arthritis, hip"
5500,M0512,Rheumatoid lung disease with rheumatoid arthritis of elbow
5501,M1A411,"Other secondary chronic gout, right shoulder"
5502,M1185,"Other specified crystal arthropathies, hip"
5503,M2367,Other spontaneous disruption of capsular ligament of knee
5504,M253,Other instability of joint
5505,M463,Infection of intervertebral disc (pyogenic)
5506,M6155,"Other ossification of muscle, thigh"
5507,M6791,"Unspecified disorder of synovium and tendon, shoulder"
5508,M7960,"Pain in limb, unspecified"
5509,M8535,"Osteitis condensans, thigh"
5510,N3501,"Post-traumatic urethral stricture, male"
5511,N5082,Scrotal pain
5512,N72,Inflammatory disease of cervix uteri
5513,O2401,"Pre-existing type 1 diabetes mellitus, in pregnancy"
5514,Q615,Medullary cystic kidney
5515,R478,Other speech disturbances
5516,S02118,"Other fracture of occiput, unspecified side"
5517,S062X6,Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
5518,A21,Tularemia
5519,A55,Chlamydial lymphogranuloma (venereum)
5520,C7A02,"Malignant carcinoid tumors of the appendix, large intestine, and rectum"
5521,D048,Carcinoma in situ of skin of other sites
5522,E68,Sequelae of hyperalimentation
5523,E803,Defects of catalase and peroxidase
5524,F1817,Inhalant abuse with inhalant-induced dementia
5525,F1993,"Other psychoactive substance use, unspecified with withdrawal"
5526,G4381,"Other migraine, intractable"
5527,H1605,Mooren's corneal ulcer
5528,H3102,Solar retinopathy
5529,K23,Disorders of esophagus in diseases classified elsewhere
5530,K5503,Acute (reversible) ischemia of large intestine
5531,K758,Other specified inflammatory liver diseases
5532,L49,Exfoliation due to erythematous conditions according to extent of body surface involved
5533,L748,Other eccrine sweat disorders
5534,M009,"Pyogenic arthritis, unspecified"
5535,M1109,"Hydroxyapatite deposition disease, multiple sites"
5536,M2425,"Disorder of ligament, hip"
5537,M546,Pain in thoracic spine
5538,M6103,"Myositis ossificans traumatica, forearm"
5539,M79A9,Nontraumatic compartment syndrome of other sites
5540,M84563,"Pathological fracture in neoplastic disease, right fibula"
5541,M8663,"Other chronic osteomyelitis, radius and ulna"
5542,M8708,"Idiopathic aseptic necrosis of bone, other site"
5543,N9089,Other specified noninflammatory disorders of vulva and perineum
5544,O9A52,Psychological abuse complicating childbirth
5545,Q36,Cleft lip
5546,S02113,Unspecified occipital condyle fracture
5547,S04031,"Injury of optic tract and pathways, right side"
5548,S0542,"Penetrating wound of orbit with or without foreign body, left eye"
5549,S06388,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
5550,S1112,Laceration with foreign body of thyroid gland
5551,A523,"Neurosyphilis, unspecified"
5552,B91,Sequelae of poliomyelitis
5553,B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
5554,C25,Malignant neoplasm of pancreas
5555,D144,"Benign neoplasm of respiratory system, unspecified"
5556,D498,Neoplasm of unspecified behavior of other specified sites
5557,E22,Hyperfunction of pituitary gland
5558,G958,Other specified diseases of spinal cord
5559,H0211,Cicatricial ectropion of eyelid
5560,H189,Unspecified disorder of cornea
5561,H3013,"Disseminated chorioretinal inflammation, generalized"
5562,I6915,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage
5563,L24,Irritant contact dermatitis
5564,L73,Other follicular disorders
5565,L91,Hypertrophic disorders of skin
5566,M01X6,Direct infection of knee in infectious and parasitic diseases classified elsewhere
5567,M0502,"Felty's syndrome, elbow"
5568,M0565,Rheumatoid arthritis of hip with involvement of other organs and systems
5569,M0684,"Other specified rheumatoid arthritis, hand"
5570,M1A151,"Lead-induced chronic gout, right hip"
5571,M1A159,"Lead-induced chronic gout, unspecified hip"
5572,M1204,"Chronic postrheumatic arthropathy [Jaccoud], hand"
5573,M1217,"Kaschin-Beck disease, ankle and foot"
5574,M268,Other dentofacial anomalies
5575,M413,Thoracogenic scoliosis
5576,M6284,Sarcopenia
5577,M6783,"Other specified disorders of synovium and tendon, wrist"
5578,M7115,"Other infective bursitis, hip"
5579,M80849,"Other osteoporosis with current pathological fracture, unspecified hand"
5580,M84359,"Stress fracture, hip, unspecified"
5581,M8718,"Osteonecrosis due to drugs, other site"
5582,M8905,"Algoneurodystrophy, thigh"
5583,O252,Malnutrition in childbirth
5584,O4212,"Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture"
5585,O4389,Other placental disorders
5586,O9935,"Diseases of the nervous system complicating pregnancy, childbirth, and the puerperium"
5587,P968,Other specified conditions originating in the perinatal period
5588,Q522,Congenital rectovaginal fistula
5589,Q701,Webbed fingers
5590,R068,Other abnormalities of breathing
5591,R192,Visible peristalsis
5592,R8762,Abnormal cytological findings in specimens from vagina
5593,S0004,External constriction of part of scalp
5594,S00469,Insect bite (nonvenomous) of unspecified ear
5595,S0570,Avulsion of unspecified eye
5596,S066X8,Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
5597,S06828,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
